"age","gender","avg_deaths","cardio","smoke","cholesterol","gluc","mean_bmi","mean_weight","mean_height","count"
"15-49","female",24.7993425952529,"0","0",1,1,35.9747550248669,90.2973333333333,159.177777777778,450
"15-49","female",24.7993425952529,"0","0",1,2,34.6292269805744,87.4,158.844444444444,45
"15-49","female",24.7993425952529,"0","0",1,3,35.6335666009666,90.55,159.3,20
"15-49","female",24.7993425952529,"0","0",2,1,35.3040806423638,89.1529411764706,159.152941176471,85
"15-49","female",24.7993425952529,"0","0",2,2,34.6266631687908,90.5576923076923,161.634615384615,52
"15-49","female",24.7993425952529,"0","0",2,3,31.1634349030471,72,152,1
"15-49","female",24.7993425952529,"0","0",3,1,36.8010835967063,94.4736842105263,159.842105263158,19
"15-49","female",24.7993425952529,"0","0",3,2,36.71875,94,160,1
"15-49","female",24.7993425952529,"0","0",3,3,35.0588712566762,90.8571428571429,160.785714285714,14
"15-49","female",24.7993425952529,"0","1",1,1,33.176110954041,88.5,163.225806451613,31
"15-49","female",24.7993425952529,"0","1",1,3,34.0516285981641,98.5,169.5,2
"15-49","female",24.7993425952529,"0","1",2,1,36.0799098083856,96,163.333333333333,3
"15-49","female",24.7993425952529,"0","1",2,2,31.6323161926733,83,162,3
"15-49","female",24.7993425952529,"0","1",2,3,33.6592970521542,95,168,1
"15-49","female",24.7993425952529,"0","1",3,1,36.0544183624419,91,159,2
"15-49","female",24.7993425952529,"1","0",1,1,36.1450343394296,91.6836461126005,159.758713136729,373
"15-49","female",24.7993425952529,"1","0",1,2,35.2140450924937,88.5,158.456140350877,57
"15-49","female",24.7993425952529,"1","0",1,3,37.9022046439584,92.1666666666667,156.166666666667,18
"15-49","female",24.7993425952529,"1","0",2,1,35.0369891511553,90.508547008547,160.589743589744,117
"15-49","female",24.7993425952529,"1","0",2,2,35.7545757760107,92.9090909090909,161.30303030303,66
"15-49","female",24.7993425952529,"1","0",2,3,35.5280179203083,95.625,163.875,8
"15-49","female",24.7993425952529,"1","0",3,1,35.6846586998368,91.6794871794872,160.24358974359,78
"15-49","female",24.7993425952529,"1","0",3,2,34.786804357613,87.6666666666667,158.666666666667,12
"15-49","female",24.7993425952529,"1","0",3,3,43.129171633888,97.7948717948718,158.717948717949,39
"15-49","female",24.7993425952529,"1","1",1,1,33.9327593153089,86.1,159.2,10
"15-49","female",24.7993425952529,"1","1",1,2,37.9600138757095,106,167,3
"15-49","female",24.7993425952529,"1","1",2,1,34.3612306050326,91.8333333333333,163.333333333333,6
"15-49","female",24.7993425952529,"1","1",2,2,30.8449491248024,75.5,156.5,2
"15-49","female",24.7993425952529,"1","1",2,3,41.1522633744856,108,162,1
"15-49","female",24.7993425952529,"1","1",3,1,38.6599203895991,105.25,165,8
"15-49","female",24.7993425952529,"1","1",3,2,32.2707877657858,90,167,1
"15-49","male",44.9659014713248,"0","0",1,1,35.2378050531522,95.6948051948052,167.746753246753,154
"15-49","male",44.9659014713248,"0","0",1,2,34.8270272003221,102.736842105263,171.736842105263,19
"15-49","male",44.9659014713248,"0","0",1,3,33.741068424421,94.6,167.6,10
"15-49","male",44.9659014713248,"0","0",2,1,34.19806358676,95.4090909090909,168.045454545455,22
"15-49","male",44.9659014713248,"0","0",2,2,35.3396256808001,103.833333333333,171,12
"15-49","male",44.9659014713248,"0","0",2,3,41.5123456790123,134.5,180,2
"15-49","male",44.9659014713248,"0","0",3,1,33.6745410006024,103.5,175.166666666667,6
"15-49","male",44.9659014713248,"0","0",3,2,34.488109612038,107.666666666667,176.666666666667,3
"15-49","male",44.9659014713248,"0","0",3,3,32.6939214981831,99.25,174.25,4
"15-49","male",44.9659014713248,"0","1",1,1,34.6762130757475,97.1643835616438,169.712328767123,73
"15-49","male",44.9659014713248,"0","1",1,2,33.2842629916876,101.888888888889,174.666666666667,9
"15-49","male",44.9659014713248,"0","1",1,3,31.9457296876492,94.5,172,2
"15-49","male",44.9659014713248,"0","1",2,1,32.4393952999455,95.2666666666667,171.333333333333,15
"15-49","male",44.9659014713248,"0","1",2,2,35.0404749490367,107.571428571429,175,7
"15-49","male",44.9659014713248,"0","1",2,3,31.5376172313526,108.5,185.5,2
"15-49","male",44.9659014713248,"0","1",3,1,32.7125342749351,94.5,170,2
"15-49","male",44.9659014713248,"1","0",1,1,34.6998895031861,103.460606060606,172.418181818182,165
