location,year,age,gender,value
Low SDI,1990,15-49,female,34.72416292511232
Low SDI,1991,15-49,female,34.441002771932375
Low SDI,1992,15-49,female,34.088810719066096
Low SDI,1993,15-49,female,33.82281223168469
Low SDI,1994,15-49,female,33.68056280380045
Low SDI,1995,15-49,female,33.41107096375525
Low SDI,1996,15-49,female,33.18006340968356
Low SDI,1997,15-49,female,32.98926141610651
Low SDI,1998,15-49,female,32.73038479778331
Low SDI,1999,15-49,female,32.654103946194695
Low SDI,2000,15-49,female,32.43737940516644
Low SDI,2001,15-49,female,31.268057935223503
Low SDI,2002,15-49,female,29.98953470809745
Low SDI,2003,15-49,female,29.079757101194613
Low SDI,2004,15-49,female,28.877553288790168
Low SDI,2005,15-49,female,28.170705829861987
Low SDI,2006,15-49,female,27.76529527492332
Low SDI,2007,15-49,female,27.2799084249604
Low SDI,2008,15-49,female,26.93723162364589
Low SDI,2009,15-49,female,26.246302082615493
Low SDI,2010,15-49,female,25.537757360739025
Low SDI,2011,15-49,female,25.14118536574388
Low SDI,2012,15-49,female,25.56446428059536
Low SDI,2013,15-49,female,25.26393899958278
Low SDI,2014,15-49,female,24.79770828877968
Low SDI,2015,15-49,female,24.23560577042537
Low SDI,2016,15-49,female,24.12641161461068
Low SDI,2017,15-49,female,23.809299406781825
Low SDI,2018,15-49,female,23.1492952244624
Low SDI,2019,15-49,female,22.95307292206313
Low SDI,2020,15-49,female,23.04111862957473
Low SDI,2021,15-49,female,22.88024741762673
Low-middle SDI,1990,15-49,female,41.18435021784835
Low-middle SDI,1991,15-49,female,40.36542243880135
Low-middle SDI,1992,15-49,female,40.19120442418778
Low-middle SDI,1993,15-49,female,39.62144435719004
Low-middle SDI,1994,15-49,female,39.27144893391363
Low-middle SDI,1995,15-49,female,39.00036414052774
Low-middle SDI,1996,15-49,female,38.79805109058614
Low-middle SDI,1997,15-49,female,38.505668260884605
Low-middle SDI,1998,15-49,female,38.19971495361134
Low-middle SDI,1999,15-49,female,38.44509608209779
Low-middle SDI,2000,15-49,female,38.00502626825165
Low-middle SDI,2001,15-49,female,37.411938120459816
Low-middle SDI,2002,15-49,female,37.26884745014037
Low-middle SDI,2003,15-49,female,36.54245314340459
Low-middle SDI,2004,15-49,female,35.635580393703684
Low-middle SDI,2005,15-49,female,35.06559892766995
Low-middle SDI,2006,15-49,female,34.58170035806897
Low-middle SDI,2007,15-49,female,33.99765134962814
Low-middle SDI,2008,15-49,female,34.04307147760615
Low-middle SDI,2009,15-49,female,33.904982605889685
Low-middle SDI,2010,15-49,female,33.620786854666825
Low-middle SDI,2011,15-49,female,32.826195008137084
Low-middle SDI,2012,15-49,female,33.19150335521006
Low-middle SDI,2013,15-49,female,33.53534265112317
Low-middle SDI,2014,15-49,female,32.99831607096926
Low-middle SDI,2015,15-49,female,32.55057313038449
Low-middle SDI,2016,15-49,female,32.57097455016627
Low-middle SDI,2017,15-49,female,32.027429201383335
Low-middle SDI,2018,15-49,female,31.187207912694387
Low-middle SDI,2019,15-49,female,30.26575825281043
Low-middle SDI,2020,15-49,female,30.031885199135424
Low-middle SDI,2021,15-49,female,29.830729393372625
Middle SDI,1990,15-49,female,30.13515574119312
Middle SDI,1991,15-49,female,29.69335897065108
Middle SDI,1992,15-49,female,29.725183941252137
Middle SDI,1993,15-49,female,29.327200355797025
Middle SDI,1994,15-49,female,29.11293725116195
Middle SDI,1995,15-49,female,28.68245111602763
Middle SDI,1996,15-49,female,28.320313661677
Middle SDI,1997,15-49,female,27.974327993842024
Middle SDI,1998,15-49,female,27.754863996097203
Middle SDI,1999,15-49,female,27.35436506923242
Middle SDI,2000,15-49,female,27.01143514075089
Middle SDI,2001,15-49,female,26.37429724542772
Middle SDI,2002,15-49,female,26.25409752955128
Middle SDI,2003,15-49,female,25.968812033195004
Middle SDI,2004,15-49,female,25.503027264706347
Middle SDI,2005,15-49,female,24.591101201591027
Middle SDI,2006,15-49,female,24.03358343158913
Middle SDI,2007,15-49,female,23.729736450119752
Middle SDI,2008,15-49,female,23.676977704739105
Middle SDI,2009,15-49,female,23.70002690546585
Middle SDI,2010,15-49,female,23.72882343922632
Middle SDI,2011,15-49,female,23.46382220278238
Middle SDI,2012,15-49,female,23.15175630573278
Middle SDI,2013,15-49,female,23.11724994180016
Middle SDI,2014,15-49,female,22.7287894799648
Middle SDI,2015,15-49,female,22.326710268448707
Middle SDI,2016,15-49,female,22.345400923720447
Middle SDI,2017,15-49,female,22.04833717527914
Middle SDI,2018,15-49,female,21.80926000692349
Middle SDI,2019,15-49,female,21.672501503053265
Middle SDI,2020,15-49,female,21.614309593936756
Middle SDI,2021,15-49,female,21.636352532911133
High-middle SDI,1990,15-49,female,23.61547323924532
High-middle SDI,1991,15-49,female,23.531441066659973
High-middle SDI,1992,15-49,female,23.958152209284485
High-middle SDI,1993,15-49,female,25.77809250505126
High-middle SDI,1994,15-49,female,27.437392652831143
High-middle SDI,1995,15-49,female,27.53128777916802
High-middle SDI,1996,15-49,female,26.688265401212377
High-middle SDI,1997,15-49,female,25.771484120161038
High-middle SDI,1998,15-49,female,25.46312755729067
High-middle SDI,1999,15-49,female,26.209326240427934
High-middle SDI,2000,15-49,female,26.32242328054837
High-middle SDI,2001,15-49,female,26.267814986905982
High-middle SDI,2002,15-49,female,26.410417342638063
High-middle SDI,2003,15-49,female,26.48910657616554
High-middle SDI,2004,15-49,female,26.25893881759325
High-middle SDI,2005,15-49,female,26.79848475674069
High-middle SDI,2006,15-49,female,24.99611461166124
High-middle SDI,2007,15-49,female,23.88536282581457
High-middle SDI,2008,15-49,female,23.42573196297952
High-middle SDI,2009,15-49,female,22.41021231723985
High-middle SDI,2010,15-49,female,21.81566723897633
High-middle SDI,2011,15-49,female,20.469552172756543
High-middle SDI,2012,15-49,female,19.33724723402636
High-middle SDI,2013,15-49,female,18.72777907649524
High-middle SDI,2014,15-49,female,18.278961838182024
High-middle SDI,2015,15-49,female,17.617342398830925
High-middle SDI,2016,15-49,female,17.13731621587433
High-middle SDI,2017,15-49,female,16.708691507956612
High-middle SDI,2018,15-49,female,16.53936333095177
High-middle SDI,2019,15-49,female,16.31870874087984
High-middle SDI,2020,15-49,female,15.881773366656244
High-middle SDI,2021,15-49,female,15.734798257650652
High SDI,1990,15-49,female,14.152856048235888
High SDI,1991,15-49,female,14.162772636987263
High SDI,1992,15-49,female,14.03191811453517
High SDI,1993,15-49,female,14.07928519471938
High SDI,1994,15-49,female,14.051875410647035
High SDI,1995,15-49,female,14.031916306242394
High SDI,1996,15-49,female,13.996099974903537
High SDI,1997,15-49,female,13.74473474727952
High SDI,1998,15-49,female,13.490764886325932
High SDI,1999,15-49,female,13.490174746410847
High SDI,2000,15-49,female,13.330784585259762
High SDI,2001,15-49,female,13.255594832466572
High SDI,2002,15-49,female,13.18660233562978
High SDI,2003,15-49,female,13.068014802127715
High SDI,2004,15-49,female,12.748820429920372
High SDI,2005,15-49,female,12.563179943892663
High SDI,2006,15-49,female,12.256771884659267
High SDI,2007,15-49,female,11.949891076870369
High SDI,2008,15-49,female,11.70437875794954
High SDI,2009,15-49,female,11.41942279281197
High SDI,2010,15-49,female,11.008674341255956
High SDI,2011,15-49,female,10.760636316509109
High SDI,2012,15-49,female,10.450019233448575
High SDI,2013,15-49,female,10.23930479419073
High SDI,2014,15-49,female,10.12216787709026
High SDI,2015,15-49,female,10.114903441242136
High SDI,2016,15-49,female,10.13948786030164
High SDI,2017,15-49,female,10.020974007387856
High SDI,2018,15-49,female,9.958519129034793
High SDI,2019,15-49,female,9.84728116623814
High SDI,2020,15-49,female,9.658697438098692
High SDI,2021,15-49,female,9.525488605980124
Low SDI,1990,5-14,female,3.491473449402056
Low SDI,1991,5-14,female,3.506470007636944
Low SDI,1992,5-14,female,3.5468176364915287
Low SDI,1993,5-14,female,3.5265931845309915
Low SDI,1994,5-14,female,3.522208702263925
Low SDI,1995,5-14,female,3.4872271351891144
Low SDI,1996,5-14,female,3.347694362149081
Low SDI,1997,5-14,female,3.233537037085727
Low SDI,1998,5-14,female,3.1476717327238646
Low SDI,1999,5-14,female,3.1130094468578537
Low SDI,2000,5-14,female,3.114111784730202
Low SDI,2001,5-14,female,3.0113903164912097
Low SDI,2002,5-14,female,2.845497882671836
