Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Low SDI,1990,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",34.72416292511232,29.969427604519286,40.19256420886326
Low SDI,1991,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",34.441002771932375,29.639746601253396,39.465708932521764
Low SDI,1992,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",34.088810719066096,29.524891684996728,38.856358702202165
Low SDI,1993,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",33.82281223168469,29.121667919226024,38.50843696788364
Low SDI,1994,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",33.68056280380045,29.264818550701428,38.64230499975716
Low SDI,1995,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",33.41107096375525,29.004007135339556,38.016599682845836
Low SDI,1996,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",33.18006340968356,28.513146691004362,37.57961907896434
Low SDI,1997,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",32.98926141610651,28.45099319155865,37.67228729108859
Low SDI,1998,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",32.73038479778331,28.39326137524864,37.44290231909097
Low SDI,1999,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",32.654103946194695,28.031922786179894,37.44741442465654
Low SDI,2000,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",32.43737940516644,28.320345471688604,36.91662705470819
Low SDI,2001,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",31.268057935223503,27.59630885546746,35.50433853978831
Low SDI,2002,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",29.98953470809745,26.00779604491666,34.1041361346635
Low SDI,2003,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",29.079757101194613,25.34284111054553,32.92159087479794
Low SDI,2004,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",28.877553288790168,25.400705815509173,32.68162851481859
Low SDI,2005,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",28.170705829861987,24.504578747879066,31.720737610355542
Low SDI,2006,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",27.76529527492332,24.488404630397227,31.019676834877576
Low SDI,2007,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",27.2799084249604,24.030179254381103,30.542371583078925
Low SDI,2008,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",26.93723162364589,23.864635693415742,30.219191473680453
Low SDI,2009,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",26.246302082615493,22.862114092312037,29.23649991388105
Low SDI,2010,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",25.537757360739022,22.44607179299701,28.55601212137524
Low SDI,2011,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",25.14118536574388,21.75522780967829,28.39184914610913
Low SDI,2012,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",25.564464280595356,22.491371625055027,28.70234661468227
Low SDI,2013,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",25.26393899958278,22.07856795588462,28.37585647646491
Low SDI,2014,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",24.79770828877968,21.75611498309731,27.855984446244605
Low SDI,2015,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",24.235605770425366,21.19594358856768,27.517119668346357
Low SDI,2016,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",24.12641161461068,20.988008169912558,27.295648036813652
Low SDI,2017,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",23.809299406781825,20.841621573421378,26.937087443946094
Low SDI,2018,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",23.1492952244624,20.157789373268486,26.287293793633633
Low SDI,2019,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",22.953072922063132,19.982853980849914,26.103011702164626
Low SDI,2020,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",23.04111862957473,19.951012766369708,26.200660896143656
Low SDI,2021,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",22.880247417626734,19.92976254636752,26.079501492803292
Low-middle SDI,1990,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",41.18435021784835,37.43897204246202,44.98484309948542
Low-middle SDI,1991,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",40.36542243880135,36.62039568992939,43.87763256398804
Low-middle SDI,1992,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",40.19120442418778,36.66653335712955,43.490211102164444
Low-middle SDI,1993,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",39.621444357190036,36.21703114102831,42.77415022583614
Low-middle SDI,1994,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",39.27144893391363,35.83651966000395,42.31259308793273
Low-middle SDI,1995,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",39.00036414052774,35.922969782271515,41.87128707353144
Low-middle SDI,1996,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",38.79805109058614,35.636911538653976,41.89778405039863
Low-middle SDI,1997,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",38.505668260884605,35.46747722490379,41.58503206219021
Low-middle SDI,1998,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",38.19971495361134,35.32151144431032,41.21891194157061
Low-middle SDI,1999,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",38.44509608209779,35.258673093704296,41.62340285358105
Low-middle SDI,2000,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",38.00502626825165,35.21163849606641,41.05267072106692
Low-middle SDI,2001,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",37.411938120459816,34.62714212818058,40.191742851297114
Low-middle SDI,2002,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",37.26884745014037,34.5364759113808,40.07428923990209
Low-middle SDI,2003,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",36.54245314340459,34.04967040046164,39.192771239437626
Low-middle SDI,2004,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",35.635580393703684,33.10605339037915,38.24658211043984
Low-middle SDI,2005,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",35.06559892766995,32.486297566179275,37.419140205547684
Low-middle SDI,2006,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",34.58170035806897,32.338434579580095,36.86536821400937
Low-middle SDI,2007,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",33.99765134962814,31.91153393910522,36.136078066776754
Low-middle SDI,2008,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",34.04307147760615,31.605519027583778,36.14568153156274
Low-middle SDI,2009,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",33.904982605889685,31.379017809258592,36.28838325092848
Low-middle SDI,2010,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",33.620786854666825,31.364826251272696,36.012860258358195
Low-middle SDI,2011,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",32.826195008137084,30.372857921282925,35.18970693896586
Low-middle SDI,2012,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",33.19150335521006,30.990445023050896,35.56978984645784
Low-middle SDI,2013,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",33.53534265112317,31.071267133091222,36.3182253410627
Low-middle SDI,2014,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",32.99831607096926,30.581374368077658,35.71513440564653
Low-middle SDI,2015,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",32.55057313038449,30.083034859283334,35.48790115395155
Low-middle SDI,2016,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",32.57097455016627,30.039723578300737,35.19650182696386
Low-middle SDI,2017,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",32.027429201383335,29.519489251332658,34.64425774928633
Low-middle SDI,2018,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",31.187207912694387,28.90384460916831,33.947383209412806
Low-middle SDI,2019,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",30.26575825281043,28.0458222341027,32.85325580407535
Low-middle SDI,2020,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",30.031885199135424,27.163925720471006,32.954337096047375
Low-middle SDI,2021,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",29.830729393372625,26.883425036834662,32.88131921242618
Middle SDI,1990,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",30.135155741193117,27.502060799051026,33.03400435167498
Middle SDI,1991,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",29.693358970651076,27.23581161270254,32.27806288636634
Middle SDI,1992,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",29.725183941252137,27.566672359514644,32.26915430313724
Middle SDI,1993,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",29.327200355797025,27.243773743832143,31.629926332472337
Middle SDI,1994,15-49 years,Female,Cardiovascular diseases,"Deaths per 100,000",29.11293725116195,27.244816598604984,31.220073065567405
