Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Low SDI,1990,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3078.5224369387593,2703.4359969742723,3432.5620232669753
Low SDI,1991,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3068.8298772902344,2709.080037930727,3406.287467906978
Low SDI,1992,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3075.1269475551817,2725.9579538061726,3411.9157747968566
Low SDI,1993,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3074.2995956354953,2696.4299107895986,3397.75998850948
Low SDI,1994,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3118.324437212432,2734.167369351658,3454.948647046118
Low SDI,1995,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3146.202643036936,2778.9858028363938,3480.6053543369317
Low SDI,1996,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3097.065828902734,2724.121420304041,3428.405992708397
Low SDI,1997,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3057.751121375482,2699.297552518239,3384.8445133098962
Low SDI,1998,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3026.720493642427,2680.4587289669535,3338.416648550831
Low SDI,1999,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2991.7947126019544,2669.486794186643,3309.3414373794776
Low SDI,2000,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2981.1426206832075,2660.700007865482,3271.3486014750097
Low SDI,2001,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2969.3022073530074,2659.0287200466096,3258.530504558407
Low SDI,2002,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3004.015981986712,2685.0379479537933,3316.2064984253293
Low SDI,2003,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2976.244792851255,2647.879785136766,3241.985656593323
Low SDI,2004,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2909.573703712658,2608.8855784377192,3184.365713138989
Low SDI,2005,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2855.8064118882457,2555.7188407764606,3114.3705504750646
Low SDI,2006,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2857.266203406092,2550.2838981625605,3140.7451446767145
Low SDI,2007,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2836.511623367379,2548.5336552295116,3100.428549421327
Low SDI,2008,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2839.885817371077,2547.446014645559,3114.369299956221
Low SDI,2009,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2827.8489149592824,2517.2641206057237,3110.6352272090407
Low SDI,2010,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2802.898015006856,2491.832199801846,3073.343461760094
Low SDI,2011,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2836.811409811372,2529.903055692056,3121.7782429818644
Low SDI,2012,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2927.3027094327076,2612.900498900186,3212.7984634244717
Low SDI,2013,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3015.994704766158,2685.80559582674,3309.4191389262064
Low SDI,2014,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3028.357381817334,2692.5695403425807,3337.0225720062776
Low SDI,2015,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2970.817150021423,2654.4363798338763,3265.1497818011135
Low SDI,2016,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2930.2227635836157,2615.1023507955624,3220.2257603415355
Low SDI,2017,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2879.6074427402114,2569.11750414681,3163.7003183034003
Low SDI,2018,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2840.3950524588895,2523.985526516374,3109.1729380565666
Low SDI,2019,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2802.7517559236303,2509.6761451704615,3063.5780981791613
Low SDI,2020,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2758.5302371613893,2451.758413755882,3045.4145936822406
Low SDI,2021,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2698.734403201338,2407.5414117424184,2978.2294943590996
Low-middle SDI,1990,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3076.7050901842777,2760.077075682133,3421.2817951381385
Low-middle SDI,1991,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3032.185416090411,2709.3016493113864,3339.8137062154174
Low-middle SDI,1992,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3059.3358831735445,2741.1877435186957,3347.776961899409
Low-middle SDI,1993,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3040.7877828975834,2724.1467480844526,3334.166794934654
Low-middle SDI,1994,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3040.120016588143,2734.8061630832467,3336.499944770921
Low-middle SDI,1995,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3096.3195007282675,2782.882705354141,3396.6924855327866
Low-middle SDI,1996,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3067.3335810124922,2756.115120942589,3340.145956833206
Low-middle SDI,1997,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3015.043984515291,2730.3576101409067,3287.0347914493254
Low-middle SDI,1998,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",3015.5519292998206,2724.321419796487,3281.3232935542105
Low-middle SDI,1999,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2957.5892557803068,2688.44588184305,3215.2825610508207
Low-middle SDI,2000,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2875.407861921544,2606.9775232868933,3105.5121184459417
Low-middle SDI,2001,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2851.4567395471367,2576.688626477397,3065.447189049811
Low-middle SDI,2002,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2872.0071510747716,2612.1192969206395,3105.4837071248917
Low-middle SDI,2003,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2881.753800680998,2607.8959748565453,3106.406795439558
Low-middle SDI,2004,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2836.931676867956,2572.2607055789535,3072.8146121003833
Low-middle SDI,2005,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2814.1640716739903,2549.1915104306436,3035.541509058438
Low-middle SDI,2006,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2837.1550825554696,2560.118608459348,3059.1042561020613
Low-middle SDI,2007,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2856.4704975750174,2601.377046313367,3081.150331131377
Low-middle SDI,2008,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2852.970054112365,2595.745133416438,3066.6686012247997
Low-middle SDI,2009,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2802.417057940587,2547.9993201299767,3015.6720781584236
Low-middle SDI,2010,70+ years,Female,Cardiovascular diseases,"Deaths per 100,000",2770.8379288895258,2535.513179514537,2987.120677854525
