Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Low SDI,1990,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",42.74342230817624,37.40896347359086,47.99503136459372
Low SDI,1991,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",42.65030626846169,37.57879989967273,48.11982754809586
Low SDI,1992,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",42.50379694304257,37.41719979003807,47.65698626847075
Low SDI,1993,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",42.625983916392194,37.88182380218808,47.24408921866471
Low SDI,1994,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",42.55976834610218,38.18431975969954,47.157591427352514
Low SDI,1995,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",42.59602179143229,38.156143323240066,46.98754461652258
Low SDI,1996,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",42.78748905035917,38.24302974513948,47.23581777559987
Low SDI,1997,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",42.53107302800924,37.95223195318624,46.76902028322745
Low SDI,1998,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",42.112919546833645,38.0804585414969,46.31248571974281
Low SDI,1999,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",42.1905569340765,38.051671193412965,46.541619913079735
Low SDI,2000,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",41.78216675685542,37.73531134381071,46.08034553352014
Low SDI,2001,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",40.195682062220854,36.49887512690794,44.195215627947775
Low SDI,2002,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",39.048447115314644,35.24775992160743,42.76188692136834
Low SDI,2003,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",38.59383218640281,34.937568351063035,42.41286091184856
Low SDI,2004,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",38.55467018186432,35.061115362888984,42.28611686706937
Low SDI,2005,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",38.037239309147836,34.48533606108696,41.86671211074643
Low SDI,2006,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",37.890337475259464,34.33451307111315,41.50438843724594
Low SDI,2007,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",38.30077728404797,34.766955781518426,42.06412782923753
Low SDI,2008,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",37.77259307711981,34.24455005140909,41.541500213632936
Low SDI,2009,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",37.27192116883659,33.85975479795274,41.304921593670805
Low SDI,2010,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",36.970209045745925,33.559630525211325,40.58838972668751
Low SDI,2011,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",36.94219472799672,33.19492551133706,40.59775070317192
Low SDI,2012,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",37.12379610328856,33.72459071186819,41.20002114395478
Low SDI,2013,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",36.95881678128895,33.31332119401666,40.78763521020531
Low SDI,2014,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",36.20612896043727,32.823427333827944,40.48135297336574
Low SDI,2015,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",35.87092435339801,31.976600757682483,40.12431800752876
Low SDI,2016,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",35.842613091243024,32.43898290191262,40.26355367268776
Low SDI,2017,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",35.63522390171434,32.063265355049126,39.713689315019536
Low SDI,2018,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",35.14790048270161,31.363700444524184,39.541427693901795
Low SDI,2019,15-49 years,Male,Cardiovascular diseases,"Deaths per 100,000",34.937124811921336,31.254427307418148,38.99238743471729
