Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Low SDI,1990,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2907.832417335609,2557.9459682992333,3184.923049435616
Low SDI,1991,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2906.4446890250138,2569.137611441777,3187.7675647767287
Low SDI,1992,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2915.865772959763,2587.540739640443,3200.3528919156447
Low SDI,1993,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2925.1890679548355,2601.2860952951,3204.703345365781
Low SDI,1994,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2968.789436823962,2647.87108911727,3239.3165904570196
Low SDI,1995,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2998.8805126667867,2670.690566055283,3256.658896132147
Low SDI,1996,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2979.546358488812,2666.0714674008923,3224.3365624750913
Low SDI,1997,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2944.45483269371,2645.9483127439776,3197.1255406360524
Low SDI,1998,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2946.741005220746,2655.651833978439,3197.0762381530794
Low SDI,1999,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2901.5409009737396,2632.100381497952,3141.3180839218235
Low SDI,2000,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2896.918781971124,2621.6969689954944,3137.702425917973
Low SDI,2001,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2872.282481428796,2610.0622262685215,3109.60475544054
Low SDI,2002,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2854.1282998071665,2585.307433364603,3087.261421041507
Low SDI,2003,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2875.176144611481,2613.3105374647307,3105.778045253462
Low SDI,2004,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2852.9859788319545,2581.677112774099,3080.5769714271923
Low SDI,2005,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2789.6730485241524,2551.0803264070696,3014.985604333519
Low SDI,2006,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2786.7981788369375,2517.2714069937215,3022.876013859336
Low SDI,2007,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2802.4708665123717,2527.8105659384496,3042.212263217467
Low SDI,2008,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2808.4791673276336,2550.853289162137,3032.7140935260904
Low SDI,2009,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2797.859226960217,2522.581371363009,3035.0905255981734
Low SDI,2010,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2816.3957668950966,2549.3530998269785,3044.117668963696
Low SDI,2011,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2841.4494307235273,2564.855230058791,3070.5834701170274
Low SDI,2012,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2842.9261804098765,2566.616182055341,3085.5526792256246
Low SDI,2013,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2955.707096826796,2674.59804508087,3206.72077196481
Low SDI,2014,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2993.750438555737,2713.4846558269046,3238.9529244302203
Low SDI,2015,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2960.968958218769,2691.3335947323703,3238.193114683395
Low SDI,2016,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2955.660906723366,2705.0032325672128,3206.0637761630783
Low SDI,2017,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2921.579641658011,2681.765356794685,3160.442976600708
Low SDI,2018,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2823.5750665821233,2570.005937480315,3073.207873199085
Low SDI,2019,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2817.696960822472,2563.987789273169,3062.108633963707
Low SDI,2020,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2822.454683240107,2564.3392006641357,3091.043808551855
Low SDI,2021,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2733.8814530264044,2471.7968142741424,3004.5820209709864
Low-middle SDI,1990,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2919.8113726634483,2602.0181540460158,3166.21154074459
Low-middle SDI,1991,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2914.0327664742977,2625.8178521623927,3160.289134937131
Low-middle SDI,1992,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2940.701644737565,2657.1786009420466,3181.5948582093847
Low-middle SDI,1993,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2959.842976707438,2682.530160083478,3201.542906156414
Low-middle SDI,1994,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2982.648615180252,2713.51038156795,3213.4584657010946
Low-middle SDI,1995,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",3031.446162909363,2753.3456888000705,3249.58467093538
Low-middle SDI,1996,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",3024.8509215912404,2757.561748598952,3250.5651765737234
Low-middle SDI,1997,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",3018.696478305558,2763.751290652795,3238.7842729552813
Low-middle SDI,1998,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",3026.2739018006832,2757.4922814255615,3216.2002161154655
Low-middle SDI,1999,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2947.9197445726813,2701.960843374393,3156.7944294165636
Low-middle SDI,2000,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2909.834148049391,2660.057710303703,3111.6225763870407
Low-middle SDI,2001,70+ years,Male,Cardiovascular diseases,"Deaths per 100,000",2929.8635638911987,2689.702115641032,3130.375599241695
